DENSITY,GLASNO,SIO2,AL2O3,B2O3,CAO,K2O,NA2O,Li2O,MgO,ZRO2,FemOn,"Somme (Si, B, Na, Ca, Al, Zr, K, Li, Mg, Fe)"
2.5,20503,40.38,0,20.03,0,28.87,10.7,0,0,0,0,99.98
2.49,20504,39.64,0,19.67,0,33.67,7,0,0,0,0,99.98
2.49,20505,38.93,0,19.32,0,38.29,3.44,0,0,0,0,99.98
2.49,20506,38.25,0,18.98,0,42.76,0,0,0,0,0,99.99
2.09,20507,28.23,0,63.31,0,0,8.45,0,0,0,0,99.99
2.09,20508,27.89,0,62.55,0,3.52,6.03,0,0,0,0,99.99
2.08,20509,27.55,0,61.8,0,6.96,3.66,0,0,0,0,99.97
2.08,20510,27.29,0,61.22,0,9.66,1.81,0,0,0,0,99.98
2.08,20511,27.04,0,60.64,0,12.3,0,0,0,0,0,99.98
2.12,20512,26.39,0,63.27,0,0,10.32,0,0,0,0,99.98
2.12,20513,26.07,0,62.51,0,3.52,7.88,0,0,0,0,99.98
2.12,20514,25.76,0,61.77,0,6.96,5.49,0,0,0,0,99.98
2.12,20515,25.52,0,61.18,0,9.65,3.63,0,0,0,0,99.98
2.12,20516,25.28,0,60.61,0,12.3,1.79,0,0,0,0,99.98
2.11,20517,25.05,0,60.05,0,14.89,0,0,0,0,0,99.99
2.15,20518,24.56,0,63.24,0,0,12.19,0,0,0,0,99.99
2.14,20519,24.32,0,62.63,0,2.82,10.22,0,0,0,0,99.99
2.14,20520,24.09,0,62.03,0,5.59,8.28,0,0,0,0,99.99
2.14,20521,23.86,0,61.44,0,8.31,6.38,0,0,0,0,99.99
2.14,20522,23.63,0,60.86,0,10.98,4.51,0,0,0,0,99.98
2.14,20523,23.3,0,60.02,0,14.88,1.78,0,0,0,0,99.98
2.14,20524,23.09,0,59.47,0,17.43,0,0,0,0,0,99.99
2.21,20525,20.89,0,63.16,0,0,15.93,0,0,0,0,99.98
2.2,20526,20.4,0,61.66,0,6.95,10.97,0,0,0,0,99.98
