DENSITY,GLASNO,"SOMME (SI, B, NA, CA, AL, ZR, K, LI, MG, FE)",Al_calc,O_calc,B_calc,Ca_calc,K_calc,Li_calc,Mg_calc,Na_calc,Si_calc,Zr_calc,Fe_calc
2.38,20398,99.98,0.0,50.675450951084294,4.363128411376042,0.0,10.924744744999789,0.0,0.0,0.0,34.01540901071832,0.0,0.0
2.41,20399,99.98,0.0,52.512812554403745,4.564981327204826,0.0,0.0,0.0,0.0,8.212353953113151,34.68851865721323,0.0,0.0
2.42,20400,99.98,0.0,51.97018922064251,4.518399885090492,0.0,2.5070462864665166,0.0,0.0,6.6544548292163475,34.32859197124026,0.0,0.0
2.43,20401,99.97,0.0,51.43214310689727,4.471818442976157,0.0,4.9725851840842505,0.0,0.0,5.118811407089498,33.973339657812396,0.0,0.0
2.43,20402,99.99,0.0,50.91968367789757,4.4283424303361105,0.0,7.388315215083444,0.0,0.0,3.6202608212459055,33.63211046201984,0.0,0.0
2.43,20403,99.98,0.0,50.40046466349713,4.381760988221775,0.0,9.754236379464096,0.0,0.0,2.1513845044289193,33.29088126622728,0.0,0.0
2.42,20404,99.99,0.0,49.656177770265415,4.316546969261707,0.0,13.21595260945263,0.0,0.0,0.0,32.80007214899141,0.0,0.0
2.44,20405,99.98,0.0,51.95966256577165,4.561875897730538,0.0,0.0,0.0,0.0,9.703485971700092,33.75364414819252,0.0,0.0
2.44,20406,99.98,0.0,51.690996504179246,4.540137891410514,0.0,1.261824621003015,0.0,0.0,8.909699275238387,33.576017991478594,0.0,0.0
2.45,20407,99.97,0.0,51.41994624588063,4.5152944556162025,0.0,2.5070462864665166,0.0,0.0,8.123331146033333,33.403066207309756,0.0,0.0
2.45,20408,99.98,0.0,51.15925436383542,4.49355644929618,0.0,3.7439664741602616,0.0,0.0,7.351800151341583,33.23011442314093,0.0,0.0
2.45,20409,99.98,0.0,50.89529540664763,4.468713013501867,0.0,4.9725851840842505,0.0,0.0,6.580269156649832,33.061837011517206,0.0,0.0
2.45,20410,99.98,0.0,50.63741498774566,4.446975007181845,0.0,6.1846009384687255,0.0,0.0,5.816156729214733,32.89355959989348,0.0,0.0
2.45,20411,99.99,0.0,50.1305112079253,4.403498994541798,0.0,8.575426536158648,0.0,0.0,4.317606143371142,32.56167914919113,0.0,0.0
2.46,20412,99.97,0.0,49.37426300940156,4.335179546107441,0.0,12.062047199456453,0.0,0.0,2.1217102354023134,32.07554440450036,0.0,0.0
2.46,20413,99.98,0.0,49.13151534826477,4.3134415397874175,0.0,13.207651131682875,0.0,0.0,1.4095277787637748,31.916615737966843,0.0,0.0
2.46,20414,99.99,0.0,48.654910027420286,4.273070956621661,0.0,15.457351607286935,0.0,0.0,0.0,31.603432777444908,0.0,0.0
2.13,20415,99.98,0.0,57.67446494917128,13.496196495259984,0.0,0.0,0.0,0.0,6.454153513286758,22.35284951068504,0.0,0.0
2.12,20416,99.97,0.0,56.95748442456501,13.328503303648379,0.0,3.0051349526519173,0.0,0.0,4.599511699123896,22.077061530523928,0.0,0.0
2.13,20417,99.98,0.0,56.25890373286649,13.163915541511061,0.0,5.952159560915538,0.0,0.0,2.796799855757595,21.805947922907926,0.0,0.0
2.13,20418,99.98,0.0,55.71403399642958,13.036592933065211,0.0,8.251668903138137,0.0,0.0,1.3798535097371691,21.59560115837827,0.0,0.0
2.13,20419,99.98,0.0,55.17877431202402,12.912375754093652,0.0,10.501369378742197,0.0,0.0,0.0,21.38525439384861,0.0,0.0
2.2,20420,99.98,0.0,57.14013125807398,13.486880206837117,0.0,0.0,0.0,0.0,7.885936993820487,21.46471872711537,0.0,0.0
2.2,20421,99.98,0.0,56.43553324515494,13.3222924446998,0.0,3.0051349526519173,0.0,0.0,6.016458045144322,21.19827949204447,0.0,0.0
2.21,20422,99.97,0.0,55.738161087561046,13.157704682562482,0.0,5.9438580831457815,0.0,0.0,4.191490500008067,20.936514629518673,0.0,0.0
2.21,20423,99.98,0.0,55.201361081398304,13.030382074116634,0.0,8.243367425368382,0.0,0.0,2.767125586730989,20.73551661007922,0.0,0.0
2.2,20424,99.98,0.0,54.67070689062855,12.906164895145075,0.0,10.501369378742197,0.0,0.0,1.3650163752238662,20.534518590639767,0.0,0.0
2.19,20425,99.98,0.0,54.14809415651314,12.781947716173514,0.0,12.709562465497473,0.0,0.0,0.0,20.33819494374542,0.0,0.0
2.26,20426,99.99,0.0,56.61269170659172,13.480669347888538,0.0,0.0,0.0,0.0,9.317720474354216,20.5765879435457,0.0,0.0
2.26,20427,99.98,0.0,56.04788181548987,13.347135880494111,0.0,2.4074285532294364,0.0,0.0,7.804332753997321,20.370915551561144,0.0,0.0
